epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.615207,1.08885,2.74391,1.48645,0.56607,0.85,0.8784,0.63412,1.65184,1.03234,1.38068,0,0,0
2,0.98964,1.1859,2.7921,1.48712,0.55805,0.85,0.88594,0.63441,1.67266,1.02471,1.38438,1.17822e-06,1.17822e-06,1.17822e-06
3,1.35334,1.09911,2.50882,1.22146,0.56064,0.85,0.85059,0.61535,1.6882,1.01243,1.38942,2.33288e-06,2.33288e-06,2.33288e-06
4,1.67166,1.1889,2.75256,1.4985,0.54639,0.85,0.85608,0.63482,1.6708,0.992,1.36942,3.46397e-06,3.46397e-06,3.46397e-06
5,2.01298,1.20515,2.44942,1.61827,0.54901,0.85,0.85793,0.63691,1.66883,1.00255,1.36478,4.5715e-06,4.5715e-06,4.5715e-06
6,2.42227,0.83237,1.92651,1.14553,0.54344,0.85888,0.85724,0.62798,1.67814,1.01253,1.37121,5.65548e-06,5.65548e-06,5.65548e-06
7,2.83324,1.402,2.76723,1.76988,0.5324,0.8639,0.85848,0.62859,1.6716,1.00873,1.36922,6.71588e-06,6.71588e-06,6.71588e-06
8,3.2339,1.19414,3.85705,1.65785,0.55572,0.86667,0.86313,0.63197,1.68499,1.02553,1.36831,7.75273e-06,7.75273e-06,7.75273e-06
9,3.64053,0.89884,2.94943,1.27732,0.55335,0.86667,0.85988,0.62969,1.67236,1.02749,1.36234,8.76602e-06,8.76602e-06,8.76602e-06
10,4.04305,1.0422,2.17915,1.27294,0.53015,0.86667,0.89475,0.63403,1.67211,1.03297,1.36122,9.75574e-06,9.75574e-06,9.75574e-06
11,4.45124,1.19081,2.27034,1.56862,0.62875,0.94539,0.90931,0.64352,1.67207,1.03616,1.35997,1.07219e-05,1.07219e-05,1.07219e-05
12,4.86215,1.00684,2.28087,1.37712,0.64073,0.94563,0.90859,0.64458,1.67913,1.04383,1.36244,1.16645e-05,1.16645e-05,1.16645e-05
13,5.27117,1.36219,3.24623,1.80089,0.62596,0.95,0.90847,0.6474,1.68334,1.05519,1.36391,1.25835e-05,1.25835e-05,1.25835e-05
14,5.68354,0.78282,2.38432,1.20165,0.63292,0.78333,0.90849,0.64651,1.69105,1.06514,1.36592,1.3479e-05,1.3479e-05,1.3479e-05
