epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.475134,1.08885,2.74391,1.48645,0.56607,0.85,0.8784,0.63412,1.65184,1.03234,1.38068,0,0,0
2,0.912902,1.1859,2.7921,1.48712,0.55805,0.85,0.88594,0.63441,1.67266,1.02471,1.38438,1.17822e-06,1.17822e-06,1.17822e-06
3,1.23441,1.09911,2.50882,1.22146,0.56064,0.85,0.85059,0.61535,1.6882,1.01243,1.38942,2.33288e-06,2.33288e-06,2.33288e-06
4,1.54257,1.1889,2.75256,1.4985,0.54639,0.85,0.85608,0.63482,1.6708,0.992,1.36942,3.46397e-06,3.46397e-06,3.46397e-06
5,1.8921,1.20515,2.44942,1.61827,0.54901,0.85,0.85793,0.63691,1.66883,1.00255,1.36478,4.5715e-06,4.5715e-06,4.5715e-06
6,2.30495,0.83237,1.92651,1.14553,0.54344,0.85888,0.85724,0.62798,1.67814,1.01253,1.37121,5.65548e-06,5.65548e-06,5.65548e-06
7,2.70348,1.402,2.76723,1.76988,0.5324,0.8639,0.85848,0.62859,1.6716,1.00873,1.36922,6.71588e-06,6.71588e-06,6.71588e-06
8,3.09345,1.19414,3.85705,1.65785,0.55572,0.86667,0.86313,0.63197,1.68499,1.02553,1.36831,7.75273e-06,7.75273e-06,7.75273e-06
9,3.49199,0.89884,2.94943,1.27732,0.55335,0.86667,0.85988,0.62969,1.67236,1.02749,1.36234,8.76602e-06,8.76602e-06,8.76602e-06
10,3.89194,1.0422,2.17915,1.27294,0.53015,0.86667,0.89475,0.63403,1.67211,1.03297,1.36122,9.75574e-06,9.75574e-06,9.75574e-06
11,4.29539,1.19081,2.27034,1.56862,0.62875,0.94539,0.90931,0.64352,1.67207,1.03616,1.35997,1.07219e-05,1.07219e-05,1.07219e-05
12,4.70009,1.00684,2.28087,1.37712,0.64073,0.94563,0.90859,0.64458,1.67913,1.04383,1.36244,1.16645e-05,1.16645e-05,1.16645e-05
13,5.10485,1.36219,3.24623,1.80089,0.62596,0.95,0.90847,0.6474,1.68334,1.05519,1.36391,1.25835e-05,1.25835e-05,1.25835e-05
14,5.51699,0.78282,2.38432,1.20165,0.63292,0.78333,0.90849,0.64651,1.69105,1.06514,1.36592,1.3479e-05,1.3479e-05,1.3479e-05
15,5.91663,1.28395,3.04943,1.53221,0.63565,0.78333,0.91023,0.65137,1.68502,1.07606,1.36355,1.43509e-05,1.43509e-05,1.43509e-05
16,6.3211,1.20845,2.06863,1.51237,0.63782,0.78333,0.90992,0.63449,1.67316,1.08081,1.35959,1.51993e-05,1.51993e-05,1.51993e-05
17,6.72094,0.80478,1.55109,1.16913,0.64514,0.78333,0.90997,0.62841,1.67015,1.08924,1.36104,1.60241e-05,1.60241e-05,1.60241e-05
18,7.10239,0.62104,1.31696,0.9913,0.64514,0.78333,0.90997,0.62841,1.67015,1.08924,1.36104,1.68253e-05,1.68253e-05,1.68253e-05
19,7.50113,0.6919,1.54336,1.03232,0.84031,0.65,0.86827,0.62138,1.68695,1.13181,1.37398,1.7603e-05,1.7603e-05,1.7603e-05
20,7.88284,1.14155,1.73574,1.33318,0.84031,0.65,0.86827,0.62138,1.68695,1.13181,1.37398,1.83571e-05,1.83571e-05,1.83571e-05
21,8.27609,0.75807,1.77703,1.17606,0.80563,0.65,0.85517,0.62685,1.68856,1.17813,1.37621,1.90876e-05,1.90876e-05,1.90876e-05
22,8.6512,1.03767,1.68535,1.21956,0.80563,0.65,0.85517,0.62685,1.68856,1.17813,1.37621,1.97946e-05,1.97946e-05,1.97946e-05
23,9.05215,0.91219,1.68848,1.36153,0.7927,0.65,0.85542,0.62709,1.68223,1.20014,1.37468,2.0478e-05,2.0478e-05,2.0478e-05
24,9.4344,0.92612,1.65833,1.23305,0.7927,0.65,0.85542,0.62709,1.68223,1.20014,1.37468,2.11379e-05,2.11379e-05,2.11379e-05
25,9.83594,0.67914,2.01798,1.07284,0.79427,0.65,0.85527,0.61275,1.69871,1.23833,1.38513,2.17741e-05,2.17741e-05,2.17741e-05
26,10.2182,0.84934,1.32401,1.17813,0.79427,0.65,0.85527,0.61275,1.69871,1.23833,1.38513,2.23869e-05,2.23869e-05,2.23869e-05
27,10.6256,0.96336,1.50208,1.41166,0.79745,0.65,0.85512,0.58608,1.70805,1.28686,1.39591,2.2976e-05,2.2976e-05,2.2976e-05
28,11.006,0.95841,1.19129,1.2492,0.79745,0.65,0.85512,0.58608,1.70805,1.28686,1.39591,2.35417e-05,2.35417e-05,2.35417e-05
29,11.405,0.95912,1.67781,1.30273,0.77011,0.65,0.85468,0.59768,1.68849,1.30346,1.38872,2.40837e-05,2.40837e-05,2.40837e-05
30,11.7892,1.09658,1.27515,1.40144,0.77011,0.65,0.85468,0.59768,1.68849,1.30346,1.38872,2.46022e-05,2.46022e-05,2.46022e-05
31,12.1885,1.01288,1.66009,1.33422,0.75117,0.65,0.85268,0.59642,1.68072,1.35974,1.38809,2.50971e-05,2.50971e-05,2.50971e-05
32,12.5722,0.69178,1.50148,1.32443,0.75117,0.65,0.85268,0.59642,1.68072,1.35974,1.38809,2.55685e-05,2.55685e-05,2.55685e-05
33,12.9715,1.0606,1.97832,1.35006,0.74974,0.65,0.85204,0.5843,1.66281,1.39378,1.3801,2.60163e-05,2.60163e-05,2.60163e-05
34,13.355,1.08516,1.90329,1.47148,0.74974,0.65,0.85204,0.5843,1.66281,1.39378,1.3801,2.64405e-05,2.64405e-05,2.64405e-05
35,13.767,0.89314,1.20589,1.29879,0.74964,0.65,0.85263,0.5634,1.6324,1.41879,1.35786,2.68412e-05,2.68412e-05,2.68412e-05
36,14.1521,1.00533,1.45744,1.36815,0.74964,0.65,0.85263,0.5634,1.6324,1.41879,1.35786,2.72183e-05,2.72183e-05,2.72183e-05
37,14.5521,0.93596,1.03641,1.32927,0.72012,0.65,0.84991,0.54668,1.60281,1.46062,1.34731,2.75718e-05,2.75718e-05,2.75718e-05
38,14.9352,0.5766,0.84268,0.96102,0.72012,0.65,0.84991,0.54668,1.60281,1.46062,1.34731,2.79018e-05,2.79018e-05,2.79018e-05
39,15.3369,0.70232,0.79656,1.16061,0.70304,0.65,0.85073,0.53069,1.5776,1.48463,1.33913,2.82082e-05,2.82082e-05,2.82082e-05
40,15.7224,0.78034,0.99517,1.17176,0.70304,0.65,0.85073,0.53069,1.5776,1.48463,1.33913,2.84911e-05,2.84911e-05,2.84911e-05
41,16.1232,0.76455,1.13311,1.11419,0.69187,0.65,0.84661,0.52371,1.57023,1.53508,1.34032,2.87504e-05,2.87504e-05,2.87504e-05
42,16.5189,0.92522,1.08501,1.19915,0.69187,0.65,0.84661,0.52371,1.57023,1.53508,1.34032,2.89861e-05,2.89861e-05,2.89861e-05
43,16.9282,0.94021,1.01241,1.41746,0.79157,0.64579,0.84745,0.52762,1.55574,1.59593,1.33946,2.91983e-05,2.91983e-05,2.91983e-05
44,17.3092,0.69154,0.93193,1.08892,0.79157,0.64579,0.84745,0.52762,1.55574,1.59593,1.33946,2.93869e-05,2.93869e-05,2.93869e-05
